,0
14,"Since 2004, Italy and Libya have been directly connected by the Greenstream natural gas pipeline, which runs below the Mediterranean, on the same axis as many migrant boats.Commercial concerns, and the cozy relationship of then-Prime Minister Silvio Berlusconi and Gadhafi, also lay behind a historic 2008 Friendship Treaty between Italy and Libya, which promised infrastructure and other aid to Libya worth the equivalent of $5 billion as compensation for the damages inflicted by Italy during the decades of colonial rule.Until his death in 2011, despite deals with Italy and the European Union to control departures from his borders, Gadhafi intermittently used European fears of mass arrivals of migrants from Libya as a political weapon."
15,"'""Take a photo of me like this,"" Neary recalls him saying.Then he asked her to mimic his pose and let him take her photo.
I think he's aware of his surroundings more through this project,"" MacDonald said.Neary has also learned a thing or two from the project, which continues on her site.
I don't know if he'll grow up to be a photographer, but I think he'll definitely do something creative.CNN: What are your tips for other parents or people who want to try having their kids take photos?Neary: If they show an interest in it, and you feel comfortable and safe with them using the camera or phone, teach them the basic skills, like this is the button to push."
16,"Since then, almost a dozen countries have passed laws allowing same-sex marriages and domestic partnerships, including Canada, South Africa, Belgium and Spain.In Argentina, the push to legalize same-sex marriage met with fierce opposition from the Roman Catholic Church, with Cardinal Jorge Mario Bergoglio -- then the archbishop of Buenos Aires and now the pope -- engaging in a notorious war of words with the government over the issue.In Uruguay, the church has taken a similar tack, with officials describing the measure as a harsh blow to the institutions of marriage and the family.
It was also one the first Latin American countries to allow same-sex civil unions.The measure approved by Uruguayan senators Tuesday removes the words ""man"" and ""woman"" from the country's civil code and replaces them with the word ""spouse,"" CNN affiliate Teledoce reported."
17,"Kabul, Afghanistan (CNN) -- At least 140 Afghan schoolgirls and female teachers were admitted to a local hospital Tuesday after drinking poisoned water, said local health officials, who blamed the act on extremists opposed to women's education.The victims range in age from 14 to 30 and were taken to a hospital in Afghanistan's northeastern Takhar province after their school's water tank was contaminated, according to provincial health department director Dr. Hafizullah Safi.No deaths were reported, but more than half the victims partially lost consciousness, while others suffered dizziness and vomiting.
""It is the work of those who are against girls' education and peace and stability in Afghanistan,"" district administrator Malem Hussain said.In 2010, more than 100 schoolgirls and teachers were sickened in a series of similar poisonings.During the Taliban's rule from 1996 to 2001, many Afghan girls were not allowed to attend school, though the schools began reopening after the regime was toppled by the U.S.-led invasion.Observers say, however, that abuse of women remains common in the post-Taliban era and is often accepted in conservative and traditional families, where women are barred from education and commonly subjected to domestic violence.Australia to accelerate withdrawalIn January 2011, Afghan Education Minister Dr. Farooq Wardak told the Education World Forum in London that the Taliban had abandoned their opposition to girls' education."
18,"MADRID, Spain (CNN) -- A Spanish judge has indicted three suspected former Nazi concentration camp guards Thursday on charges of genocide and ordered their arrests.Visitors mark 60th anniversary of liberation Sachsenhausen concentration camp in 2005.Two of the suspects, Johann Leprich and Anton Tittjung, each 84, are thought to live in the United States, while the third, Josias Kumpf, also 84, is believed to live in Austria, according to a copy of the court order viewed by CNN.They are accused of serving in the Nazi SS."
19,"""""Many AutoMaidan activists have suffered,"" the former world champion boxer added, noting protesters who've had their cars smashed and been arrested in the unrest.The views from outside Ukraine weren't much kinder.Saying the U.S. government was ""appalled by obvious signs of torture,"" White House spokesman Jay Carney said, ""We are deeply concerned by increasing reports of protesters disappearing and being beaten and tortured, as well as by attacks on journalists.Carney added: ""It is especially concerning that some of these reports have suggested the involvement of security forces.
At least four protesters and an unknown number of police also have been killed.Thankfully, there have been no repeats of those violent confrontations since last week.On Friday, Ukraine's military forces urged the President to restore stability, saying that a further escalation of the political unrest in the country threatens the Eastern European nation's territorial integrity.Yanukovych must take ""immediate measures to stabilize the situation,""  the country's Defense Ministry said a statement.In an interview with Russian state news agency Itar-Tass on Sunday, Ukrainian Defense Minister Pavel Lebedev said that Ukrainian military forces would not interfere in the country's current political unrest."
20,"The FBI performed some of the forensic tests that the state is using in its case.Trying to heal a community-police riftBut as the investigation into the shooting has continued, federal and state officials, along with members of the Missouri congressional delegation, have been working on proposals to try speed reforms to improve a poor relationship between the Ferguson police and the mostly African-American community it is supposed to protect.Among the those efforts is a plan in the works under which Thomas Jackson would step down as Ferguson police chief to make way for the St. Louis County Police Department to assume management of the smaller force, according to government officials briefed on the discussions.CNN's report on those plans prompted pushback from city officials who already weren't pleased by state and federal officials push for rapid changes.On Wednesday, Attorney General Eric Holder said in remarks at the Washington Ideas Forum: ""I think it's pretty clear that the need for wholesale change in that department is appropriate."
21,"(CNN) -- Tiny diamonds found in the soil are ""strong evidence"" a comet exploded on or above North America nearly 13,000 years ago, leading to the extinction of dozens of mammal species, according to a study.Diamonds found in North American soil suggest a comet led to the extinction of dozens of mammal species.The scientific report also suggests the cataclysm also reduced the population of the earliest people to inhabit the region and triggered a 1,300-year-long cold spell that stretched around the world.The heat generated by the extraterrestrial impact likely melted much of a glacier that once covered the Great Lakes region, sending a massive flood down the Mississippi River, the study said.According to the report, the cold waves of glacial runoff into the Gulf of Mexico shifted Atlantic Ocean currents, changing climate patterns throughout the world in a cooling period known as the Younger Dryas."
22,"The new school year has not yet started, Syrian state TV said, so it seems unlikely that children would have been at the site.In June, Human Rights Watch described cases of ""sexual torture"" at the compound, reported by male and female detainees -- many of whom were political activists or simply attended protests.At least 148 people were killed across Syria on Tuesday, according to the Local Coordination Committees of Syria, an opposition group.The highest number of deaths, 44, was reported in Damascus and its suburbs, where regime forces and rebel fighters are engaged in fierce clashes and communities are under aerial bombardment, the LCC said.CNN's Salma Abdelaziz, Saad Abedine, Holly Yan, Samuel Burke and Claire Calzonetti contributed to this report."
23,"Since the election of 2010, the United States has narrowly averted three Republican-built suicide bombs: one government shutdown, one debt default and one fiscal cliff.
""The key to the suicide bomb strategy is to convince people that members of the conservative wing of the Republican Party are crazy enough to wreck the economy if they don't get their way.
Like the hapless bartender, they keep tossing the Republicans wads of cash -- spending cuts and tax breaks -- in order to spare the country from a debt default, shutdown or recession.Opinion: GOP civil war over Sandy disaster reliefBut this bomber will not be satisfied by a few payoffs."
24,"The German is in fourth place, 14 points behind Webber and 25 behind Alonso.However, 34-year-old Webber believes his world championship challenge has been ""inconvenient"" for his team, who are bidding to win both their first constructor's and driver's championships.Is Ferrari's Fernando the fastest on the grid?
""The relationship between the pair has been under scrutiny all season, with the issue coming to a head after they crashed when Vettel tried to pass Webber at this season's Turkish Grand Prix.Both will line up on the grid for the Brazilian Grand Prix, which takes place on Sunday at the Interlagos circuit in Sao Paulo."
25,"Fidel Castro recently weighed in on the GOP primary race and proclaimed it ""in all seriousness, the greatest competition of idiocy and ignorance that has ever been"" -- except for all the show trials, imprisonments and executions of his political rivals, of course.Interestingly, despite Mitt Romney's attacks on fellow Republican candidates who support comprehensive immigration reform and the Dream Act, polls show that he is doing surprisingly well with the Hispanic vote this time around.3) There is a typical Florida voter: Compared with the other states in the January primary ordeal -- Iowa, New Hampshire and South Carolina -- Florida is a complex array of 10 media markets, all with different characteristics."
26,"""Instead life had a different path for Jarun, one that would take him far from his native Peachtree City, Georgia.On Sunday he will line up as a defender for the Palestinian national soccer team as they take on Afghanistan in a match that, just one year on from the World Cup final in South Africa, represents one of the first steps towards qualification for the next tournament in Brazil in 2014.Besides being Palestine's first World Cup match on home soil, Sunday's encounter will have extra significance for Jarun.
In 1998 FIFA, world football's governing body, recognized Palestine, making it one of the few international bodies to place it alongside other nation states.But following the outbreak of the second intifada in 2000, and the imposition of restrictions for residents of the West Bank by the Israelis, the local league was cancelled and national team players were prevented from traveling abroad to fulfil their fixtures.When qualification for the 2006 World Cup began, so many players were prevented from leaving Gaza and the West Bank that only nine could start against Uzbekistan in a match in Doha, Qatar.Today the team is a patchwork of bureaucracy."
27,"Washington (CNN) -- Afghan President Hamid Karzai and Secretary of State Hillary Clinton declared the Afghan leader's visit to the United States this week a success, saying on Thursday that it had helped strengthen the partnership between Washington and Kabul at a critical point in the war against Taliban and al Qaeda extremists.They also stressed that President Obama's July 2011 deadline to start withdrawing U.S. forces from Afghanistan did not represent a weakening of America's commitment to the war-torn Islamic republic.The two leaders spoke at the U.S. Institute of Peace in Washington -- part of what became a week of playing down tensions between U.S. and Afghan officials."
28,"The British playwright and screenwriter has a thing about mismatched power couples: the relationships between Tony Blair and Elizabeth II in ""The Queen""; a young Scottish medic and Ugandan President Idi Amin in ""The Last King of Scotland""; and between Anne Boleyn and Henry VIII in ""The Other Boleyn Girl,"" to name just his most recent credits.Morgan seems both awed and appalled by these power-mongers, locked in the solitary confinement that political leadership entails -- though his instinct is always to bring them down to earth, to find some common ground, however fleeting it may be.Interviews often are described as a courtship or seduction, but this one was more of a cross-examination."
29,"(CNN) -- Britain's Queen Elizabeth II cheered Estimate on to success at the Gold Cup in 2013 but now her her five-year old filly is in the dock.Buckingham Palace confirmed to CNN Tuesday Estimate had tested positive for banned substance morphine.The Monarch was present at Ascot racecourse last year to see her horse claim glory in one of the world's most prestigious races.Estimate narrowly missed out on defending that crown last month, after which the positive sample is thought to have been taken.A statement released by the Palace said initial findings showed the positive test came from consumption of a contaminated feed product.Her Majesty has been informed of the situation, it said.Estimate, trained by Sir Michael Stoute, could now be stripped of that second place finish.A statement by John Warren, the Queen's Bloodstock and Racing Advisor, said the British Horseracing Authority (BHA) had informed the Palace of the result of post-race samples on July 17."
30,"""I do not expect formal meetings to resume before Tuesday,"" Katharine Tinucci said in an e-mail Saturday night.The Minnesota government was forced to shut down Friday for the second time in six years after lawmakers failed to reach a budget agreement before a midnight Thursday deadline.That left thousands of people without jobs to go.
""The governor, a member of the Minnesota Democratic-Farmer-Labor party wants to raise taxes on the wealthiest 1.9% of Minnesotans, as well as cut spending.Republicans accused the governor of giving up too soon.Senate Majority Leader Amy Koch said in a statement issued by her office Friday that Republicans had ""100 matched"" some of Dayton's funding requests.
""This is very disappointing, very disheartening,"" House Speaker Kurt Zellers said after Dayton's news conference.Zellers told reporters that budget talks were much closer than Dayton previously said.The state Democratic-Farmer-Labor party blamed Republicans for the shutdown, accusing them of stubbornly favoring millionaires over other Minnesota residents."
31,"If the majority of the Afghan people don't want the Taliban to rule, they should fight for their rights, as they have shown they can when they defeated the Taliban in 2002 with limited help from us.Some claim that we must keep fighting to secure human rights, especially women's rights, and a democratic regime in Afghanistan.
That way, we did not have to admit to the world and each other that whatever the Karzai government is -- one of the most corrupt governments in the world, a foundation of a new narcostate -- democracy it ain't, by a long shot.How much our entanglement in Afghanistan is turning into a sad farce became all too clear when President Obama flew to Kabul to tell Karzai that he ought to stop corruption.When, in response, Karzai started negotiating a peace deal with the Taliban, the White House rolled out the red carpet for Karzai and announced that from now on, the U.S. will focus on low-level corruption."
32,"(CNN) -- The practice of moving research involving human subjects from wealthy countries to less wealthy countries has grown in recent years, raising a number of ethical and scientific issues that need to be addressed, researchers said in a journal article Wednesday.More and more clinical trials are being moved to less wealthy nations, a medical journal article reports.
""He and his co-authors reported in the New England Journal of Medicine that in November 2007, about one-third of clinical trials (157 of 509) were being carried out entirely outside the United States, many of them in developing countries.
""We've seen problems with people cheating on clinical trials,"" he said.He acknowledged that similar problems have arisen in the United States, but said such misdeeds were less likely to be found out when they happened abroad.Of critical importance is the fact that some populations' genetic makeup may affect their response to medication, the authors said."
33,"(CNN) -- Why did Eric Hobsbawm, one of the greatest historians of modern times, remain a Marxist after the end of the Soviet Union, and defend communism into the 21st century?To be a man of Hobsbawm's generation was to have experienced the collapse of capitalism in the Great Depression, to be a Jew of Hobsbawm's generation was to have seen the rise of Hitler and Nazi Germany.
The end of the Soviet Union was understood by many of us not as an end to ideology, but as proof that our ideology was the better one.Just why Eric Hobsbawm thought as he did, wrote as he did, and lived as he did is a matter that is beyond the judgement of any one of his colleagues, and there are people far better equipped than I to judge."
34,"The cancer was in remission for years before a recent relapse.Realizing he would lose his hair because of treatment, McGuire was worried about securing a date.His older sister, Victoria, asked, ""What if I got Taylor Swift?
""Representatives for Swift confirmed that the message was posted by the singer.McGuire has a fever and is extremely ill, so he won't be able to participate in a YouTube video Victoria and his younger brother planned on making in response to Swift.McGuire, a New Jersey high school student, will be in and out of the hospital the remainder of his senior year and turns 19 on prom night, according to his sister."
35,"It has also made him a leading voice in Iran's efforts to re-energize its struggling economy.Like many of his country's business leaders, Najafi has watched the recent negotiations with world powers on Iran's nuclear program with great interest.He spoke to CNN's Reza Sayah on this week's Marketplace Middle East, sharing his thoughts on how he sees the talks panning out and the impact they will have on the Iranian economy going forward.Reza Sayah (RS): What was your reaction when they couldn't reach a deal (on the nuclear issue)?Mohammad Reza Najafi (MRN): As a matter of fact it was a deal but naturally it takes time and we are happy that it is continuing.RS: Would you agree that Iran's economy is not going to improve without the sanctions being lifted?MRN: It's a very difficult question to answer because at the same time during the sanctions we tried to find our own way to improve ourselves and so on.But we are interested to collaborate with them (the international community) so it is an obstacle that should be removed.RS: Tell me about Iran's economy today, where does it stand?MRN: These three months of the year, the first quarter of the Iranian year, the international trade has increased from $18.5 billion to $24.5 billion.We hope after removing the sanctions then we'll have at least 6% growth in the economy of the country and at least 10% growth in the industrial (sector).RS: Iran is still dependent on oil exports."
36,"""Michael Jackson made culture accept a person of color way before Tiger Woods, way before Oprah Winfrey, way before Barack Obama,"" said the Rev.
""As the Jackson 5, Michael Jackson and his brothers ""became a cutting-edge example of black crossover artists,"" said Mark Anthony Neal, a professor of black popular culture at Duke University's Department of African and African American Studies.
He told the talk show host that he had vitiligo, a disorder that destroyed his skin pigmentation.Black popular culture professor Neal said Jackson's physical changes did not reflect his life on the whole.
And I think that many of the changes to his face, particularly his skin tone, he was almost trying to achieve an a-raciality,"" said Neal.Contee upset some commenters on her blog when she highlighted both the positive and negative aspects of Jackson's life, or what she termed his ""mixed legacy."
37,"It's not New iPad, which is what people on Twitter started calling it during a nearly 90-minute press conference about the device.The longer Apple execs talked about the tablet computer's new features -- better screen, faster connection -- without actually giving it a name, the more anxious the People of the Internet became.
""Come on Apple, name it already,"" one person wrote.
""Is the next one going to be called the 'New-New iPad'?
That would seem logical if unlikely at this point.On the other hand, Apple has been through this sort of thing before.When the first iPad came out, people online were comparing it to a high-tech tampon."
38,"(CNN) -- Togo's national soccer team have been officially disqualified from the 2010 Africa Cup of Nations by the Confederation of African Football (CAF).The region's governing football body for football has confirmed that the team, known as the ""Hawks"", will take no further part in the tournament being hosted by Angola after failing to appear for their first group game against Ghana on Monday, according to CNN affiliate ITN.The squad flew back home to Togo after three of their traveling party were killed and two players seriously injured by a machine-gun attack which occurred as their bus crossed the border into the northern, oil-rich state of Cabinda on Friday.Group B has now been reduced to three teams: Ghana, Ivory Coast and Burkina Faso -- the latter two drew 0-0 on Monday.Angolan authorities have arrested two people involved in the attack, state media reported, while goalkeeper Kodjovi Obilale remains in a stable condition in a South African hospital but needs a ventilator as he recovers from being shot.The CAF has also ordered a moment of silence to be observed in memory of the slain Togolese before each match in the first round of the tournament, it announced Monday.There had been conflicting reports about whether Togo would take part after several players were quoted saying that they wanted to stay in Angola and play, before being ordered to leave the country by their government.Later reports then quoted Togo sports minister Christophe Tchao as saying he had requested that the CAF keep his country's place in the tournament open in case they returned to Angola.But the UK Press Association reported that the CAF had received no such request."
39,"(CNN) -- There's been plenty of talk about the gender pay gap in recent days after speculation that recently fired New York Times executive editor Jill Abramson was let go after speaking up about possible pay disparity between her and the previous executive editor, Bill Keller.In response to that talk, the New York Times publisher, in a lengthy statement over the weekend, said Abramson's total ""pay package,"" which included stock and other compensation in addition to salary, was ""comparable"" to Keller's and was, in fact, more than 10% higher during Abramson's last year, and that her removal was due to her management of the newsroom, nothing else.Until we hear Abramson's side of the story, it remains unclear what role, if any, an alleged pay gap played in her fate.What is clear is how outraged women were hearing that the Times' first woman executive editor could be making less than the last male executive editor."
40,"2 Ayman al-Zawahiri began planning Bhutto's killing in October.But such a claim has not appeared on radical Islamist Web sites that regularly post such messages from al Qaeda and other militant groups.The source of the claim was apparently Italian news agency, Adnkronos International (AKI), which said that al Qaeda Afghanistan commander and spokesman Mustafa Abu Al-Yazid had telephoned the agency to make the claim.
""We are not in a position to confirm who may be responsible,"" Feinstein said.Feinstein said that the intelligence community ""obviously analyze(s) open source intelligence,"" but he would not say whether the community believes the claim has any validity.For now, he said, there is ""no conclusion"" as to who may be responsible.Earlier, DHS spokesman Russ Knocke said Bhutto's assassination had not prompted ""any adjustments to our security posture."
41,"""All Americans should share their concern.On the very day these commanders testified, their views ironically were validated by one of the few American successes in recent months: the reported successful defense of the Kurdish town of Kobani on the Syrian/Turkish border.The irony is that this town -- which had little or nothing to do with the vast challenge to our interests posed by either ISIS or Syrian President Bashar al-Assad's murderous regime, and yet still consumed 70% of the airstrikes in our struggle against ISIS over the past months -- has been trumpeted as a key victory by the Obama administration.In reality, control of Kobani was contested by a confused array of combatants -- including a designated terrorist organization, the PKK, or Kurdistan Workers Party, fighting on the coalition side against ISIS."
42,"An American sentenced in North Korea ripped up his visa so he could go to prison and expose human rights violations there, state media said Saturday.Matthew Todd Miller was convicted of committing ""acts hostile"" to North Korea and sentenced to six years of hard labor last week.Saturday's report in the state-run Korean Central News Agency boldly heaped blame on Miller, claiming his acts were a preconceived plan to gain notoriety.The 24-year-old from Bakersfield, California, arrived in North Korea as a tourist in April.After his arrival, he tore his visa at  Pyongyang's airport and  shouted his desire to seek asylum, according to KCNA."
43,"I mean, Bandura's methodology didn't just cure people with a lifelong fear of snakes; it affected other parts of their lives.Watch David Kelley's TED Talk: How to build your creative confidenceFirst Bandura would invite the person with the fear of snakes into a room and say, ""You know, there's a snake in the next room and we're going in there.""
We've found that we can help people regain their creative confidence through a series of small successes that take fear and turn it into familiarity.Even better, when people regain this creative confidence -- and we see it all the time at the d.school and at IDEO -- we've found that they start working on the things that are really important in their lives."
44,"They can't stop talking about whether members of Christie's staff tried to harass the Democratic mayor of Fort Lee, New Jersey, by shutting down traffic lanes on the George Washington Bridge, and whether Christie was in on it.Do you ever get the sense that the media are on Mars while most Americans are on Earth?
Being stuck in traffic for hours on a bridge -- or watching the media get stuck for days on a story about a juvenile stunt that might, or might not, bloom into a full-blown scandal?I'd have to go with the latter, especially when you consider that the media seem addicted to the story in hopes that it could somehow derail the plans of a Republican presidential hopeful.It's a long walk from one to the other, but see if you can follow me there."
45,"BAGHDAD, Iraq (CNN) -- Celebratory gunfire erupted across the capital Sunday when Iraq's soccer team won the Asian Cup, in a 1-0 shutout against three-time champions Saudi Arabia.A soldier takes position Sunday in central Baghdad after a vehicle ban was announced in the Iraqi capital.Stray bullets killed four people and wounded 17 others in the capital, an official with the Iraqi interior Ministry told CNN.An Iraqi woman who was among military workers watching the game from a U.S.-Iraqi military base labeled the team members ""heroes.
soldiers at the base joked that, with the victory, the war was over and they could return home, CNN's Arwa Damon reported.Iraqi state television showed the players, draped in Iraqi flags, hoisting pewter cups aloft as they reached out for the main trophy held by a player on a dais that had been set up in the field."
46,"ATLANTA, Georgia (CNN) -- Marty Gardner faced strict standards when she started training to be what was then known as a stewardess in 1954 for Delta Air Lines: Being young and single were conditions for employment, and weight, girdles, hats and gloves were monitored closely.
Her flying career ended after five years.Marty Gardner wore her 1955 uniform to the Delta Clipped Wings anniversary celebration in Atlanta.
That was the rule,"" said Gardner, 73, a member of Delta Clipped Wings, an organization of retired and longtime flight attendants.Still, Gardner and other members of the group that gathered this week on Delta's Atlanta, Georgia, campus to celebrate the Clipped Wings' 50th anniversary said they loved their jobs."
47,"(CNN) -- On Christmas Day last year, Alan Henning was sitting in a brightly lit cafe in southern Turkey, sharing a laugh with his friends before they set off on their journey.Henning, a big-hearted taxi driver from Bolton, northern England, was part of a team of volunteers traveling from Britain to Syria to deliver aid to people in need.Nicknamed ""Gadget"" by his peers, Henning was the only non-Muslim in the convoy.
While part of the aid convoy stopped at the Turkish border, Henning was part of a much smaller group that volunteered to press ahead into Syria.In video shot that day, he explained part of his rationale for answering the call to help.
""Alan was moved by the suffering of the Syrian people, in particular the children,"" his colleague Abu Abdullah said in a YouTube plea to his colleague's captors.His wife made a public plea for ISIS to spare his life."
48,"(CNN) -- Notre Dame linebacker Manti Te'o said Wednesday he was the victim of a ""sick joke"" that had him and legions of fans believing in a ""girlfriend"" who may never have existed.Te'o was the subject of an inspirational story in which he overcame the deaths of his real-life grandmother and his girlfriend as his team marched toward the BCS National Championship Game.Te'o, the Heisman Trophy runner-up, released a statement and Notre Dame held a news conference Wednesday night after the sports website Deadspin published an article that called the girlfriend story a hoax.Last September and October, Te'o told interviewers the losses of the women, who reportedly died within hours of each other, inspired him to honor them with sterling play on the field."
